Unnamed: 0,Date,Stock,Open,High,Low,Close,Volume,Daily_Return,Volatility_10,Volatility_20,SMA_10,SMA_20,std_10,std_20,Upper_BB_10,Lower_BB_10,Upper_BB_20,Lower_BB_20,Direction,topic_-1_negative,topic_-1_neutral,topic_-1_positive,topic_0_negative,topic_0_neutral,topic_0_positive,topic_1_negative,topic_1_neutral,topic_1_positive,topic_2_negative,topic_2_neutral,topic_2_positive,topic_3_negative,topic_3_neutral,topic_3_positive,topic_4_negative,topic_4_neutral,topic_4_positive,topic_5_negative,topic_5_neutral,topic_5_positive,topic_6_negative,topic_6_neutral,topic_6_positive,topic_7_negative,topic_7_neutral,topic_7_positive,topic_8_negative,topic_8_neutral,topic_8_positive,topic_-1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
11686,0,BLK,1042.310193,1049.709742,1034.612225,1038.510986,337100,-0.009579998,0.01332318,0.01116668,1037.210083,1036.368878,16.2460329,16.15361145,1069.702149,1004.718017,1068.676101,1004.061655,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11687,0,BP,28.42076072,28.80535751,28.37145412,28.55882072,6753100,0.003812774,0.013062359,0.016034608,28.49077816,28.81028938,0.428704662,0.590384633,29.34818748,27.63336884,29.99105865,27.62952012,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11688,0,C,70.37268978,71.03808031,70.05489075,70.51172638,7743100,-0.004905427,0.016531391,0.012399598,69.76390686,70.5008049,1.258252081,1.197860538,72.28041102,67.2474027,72.89652598,68.10508382,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11689,0,COP,96.21919703,97.19131183,95.69346448,96.13983917,5889700,0.000309669,0.011113369,0.01090531,96.44734268,99.8209671,1.882331786,3.99779459,100.2120063,92.68267911,107.8165563,91.82537792,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11690,0,CRM,340.3500061,342.269989,335.269989,338.4500122,3220400,-0.009569206,0.016040419,0.029226211,344.5909088,346.9431808,7.039220624,11.10223776,358.6693501,330.5124676,369.1476564,324.7387053,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11691,0,CSCO,59.16682042,59.6137755,58.73973042,59.2065506,13021400,-0.006168671,0.009872544,0.008113566,58.36130867,58.61805935,0.846683616,0.722816838,60.0546759,56.66794144,60.06369303,57.17242567,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11692,0,CVX,142.7071307,144.1115665,141.8170097,142.4203186,5296500,0.000138872,0.01413518,0.012725159,143.8257324,150.241571,3.807506265,7.3430734,151.440745,136.2107199,164.9277178,135.5554242,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11693,0,DIS,111.8199997,112.1200027,110.8600006,111.5500031,4523800,-0.00888494,0.00883891,0.00752761,112.0779999,113.7905994,0.640845086,1.97891434,113.3596901,110.7963097,117.7484281,109.8327708,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11694,0,F,9.712594032,9.877214348,9.664176129,9.712594032,52899900,-0.003972221,0.016947533,0.014108684,9.65255661,9.986638927,0.187426773,0.403126725,10.02741016,9.277703063,10.79289238,9.180385477,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11695,0,GE,170.4029557,171.1515629,168.6661816,169.7641449,3188400,-0.010414797,0.01801025,0.019983399,166.7911514,170.6169357,3.653000009,6.318411908,174.0971514,159.4851514,183.2537595,157.9801119,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11696,0,GM,53.6731958,54.72052554,53.62331987,54.14199829,5884400,0.001845646,0.016498444,0.013996471,52.12613792,52.67677422,1.478215642,1.381448736,55.08256921,49.16970664,55.43967169,49.91387674,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11697,0,GOOGL,194.725737,195.0953217,190.4306804,192.5382538,18891400,-0.014519494,0.01984614,0.022836296,192.7100571,185.2634766,3.19897548,10.23521167,199.108008,186.3121061,205.7338999,164.7930532,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11698,0,GS,574.1529974,579.0885459,568.5308511,573.3370361,1486000,-0.008688371,0.019345473,0.014436321,569.9547791,581.8985626,12.59086204,15.57334971,595.1365031,544.773055,613.0452621,550.7518632,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11699,0,IBM,221.6632364,222.934764,219.9446899,221.3056183,1810800,-0.009382378,0.014718389,0.014684081,223.5685471,226.7275032,3.47679193,4.639114808,230.5221309,216.6149632,236.0057328,217.4492736,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11700,0,INTC,20.20999908,20.61000061,20.09000015,20.29999924,48260800,-0.006849378,0.026975698,0.028097569,20.08299999,20.8414999,0.578965755,1.327919801,21.2409315,18.92506848,23.4973395,18.1856603,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11701,0,JNJ,143.7195691,145.4358419,143.5310755,143.8981476,5588300,-0.003640583,0.010381965,0.008930444,143.9904099,146.5573631,1.004359927,3.398196653,145.9991297,141.98169,153.3537564,139.7609698,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11702,0,JPM,241.4728862,242.1394418,238.8066483,239.9308472,5730200,-0.008102293,0.015191669,0.011939866,237.1571701,240.3874863,3.978143921,4.604750319,245.1134579,229.2008823,249.5969869,231.1779856,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11703,0,KO,61.99252701,62.48886429,61.75428345,61.99252701,8542800,-0.0019178,0.007806585,0.009257808,62.25657578,62.44220562,0.330102774,0.525650365,62.91678132,61.59637023,63.49350635,61.39090489,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
